,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
0,500002,ABB LTD.    ,A ,Q,4690.05,4826.7,4690.05,4773.9,4772.8,4695.95,1050,5015,23993773.0,
1,500003,AEGIS LOGIS ,A ,Q,349.0,353.65,348.2,350.7,349.35,348.6,369,11238,3955312.0,
2,500008,ARE&M       ,A ,Q,816.45,820.0,807.95,811.65,811.65,815.7,3680,64739,52581286.0,
3,500009,A.SARABHAI  ,XT,Q,44.0,44.0,44.0,44.0,44.0,41.91,230,118771,5225924.0,
4,500012,ANDHRA PETRO,X ,Q,90.0,91.95,88.0,89.5,89.5,88.7,2268,399948,36103422.0,
5,500014,UTIQUE      ,X ,Q,7.25,7.35,7.08,7.28,7.34,7.06,222,48364,350578.0,
6,500016,ARUNAHTEL   ,X ,Q,16.31,16.31,15.0,15.53,15.54,16.09,286,159482,2457271.0,
7,500020,BOM DYEING  ,A ,Q,152.15,154.0,152.05,152.95,153.2,153.4,732,27207,4160012.0,
8,500023,ASIANHOTNR  ,T ,Q,227.5,227.5,227.5,227.5,227.5,220.4,2,110,25025.0,
9,500027,ATUL LTD.   ,A ,Q,7173.4,7225.95,7148.3,7168.75,7194.95,7156.8,619,1793,12881128.0,
10,500028,ATV PROJECTS,XT,Q,15.5,16.0,14.8,15.49,15.93,15.5,195,72298,1134629.0,
11,500031,BAJAJ ELECT.,A ,Q,1001.95,1015.1,990.8,1011.65,1009.75,994.6,288,3146,3147576.0,
12,500032,BAJAJHIND   ,A ,Q,28.0,28.2,27.8,28.15,28.15,27.99,2397,679426,19034480.0,
13,500033,FORCE MOTR  ,B ,Q,3769.0,3779.0,3694.05,3723.5,3723.5,3738.1,2168,30151,112278922.0,
14,500034,BAJFINANCE  ,A ,Q,7431.1,7485.2,7365.45,7382.15,7382.15,7431.8,6586,38253,283901247.0,
15,500038,BALRAM.CHINI,A ,Q,405.1,408.4,404.0,406.2,406.2,405.1,2670,115033,46702232.0,
16,500039,BANCO PROD. ,B ,Q,612.05,630.2,612.05,624.85,630.2,622.85,1689,28248,17712324.0,
17,500040,CENTURY TEXT,A ,Q,1250.15,1268.05,1232.0,1245.65,1239.75,1265.35,852,9361,11647406.0,
18,500041,BANNARI AMAN,B ,Q,2572.35,2580.4,2555.0,2555.0,2555.0,2566.85,10,22,56304.0,
19,500042,BASF INDIA  ,A ,Q,3062.1,3092.0,3027.0,3038.55,3038.55,3063.2,243,914,2795519.0,
20,500043,BATA INDIA  ,A ,Q,1598.65,1611.0,1594.3,1595.75,1594.3,1596.15,698,4356,6980258.0,
21,500048,BEML LTD    ,A ,Q,2788.0,2832.0,2768.75,2814.3,2814.3,2784.7,1168,9551,26828700.0,
22,500049,BHARAT ELECT,A ,Q,182.1,184.65,180.55,182.35,182.35,182.2,11411,1073122,195745080.0,
23,500052,BHANSALI ENG,B ,Q,114.2,114.8,111.05,111.75,111.75,114.2,5913,501741,56581429.0,
24,500058,BIHAR SPONGE,XT,Q,10.45,10.6,10.21,10.45,10.45,10.57,232,45059,465913.0,
25,500059,BINANI IND. ,T ,Q,16.3,16.38,15.86,16.1,16.05,16.0,37,8774,141550.0,
26,500060,BIRLACABLE  ,B ,Q,280.95,284.05,279.0,281.9,281.7,282.9,225,3846,1084853.0,
27,500067,BLUE STAR   ,A ,Q,955.0,955.0,940.15,941.9,941.9,950.8,375,3457,3268923.0,
28,500068,DISA INDIA  ,B ,Q,16099.95,16140.0,15865.0,16050.1,16100.0,15978.55,21,31,498151.0,
29,500069,QUESTCAP    ,X ,Q,381.05,391.0,381.05,385.95,389.0,390.0,13,136,52555.0,
30,500074,BPL LTD.    ,T ,Q,83.3,89.51,83.3,88.88,88.88,85.25,98,9685,849551.0,
31,500078,OAL         ,B ,Q,405.0,414.95,395.65,397.0,395.65,405.8,376,3153,1269167.0,
32,500083,CENTURY EXT ,B ,Q,20.42,21.13,19.2,20.6,20.94,19.53,821,147084,2998196.0,
33,500084,CESC LTD.   ,A ,Q,134.55,137.45,132.05,134.7,134.7,134.55,3512,432573,58474996.0,
34,500085,CHAMBAL FERT,A ,Q,380.5,388.2,378.05,386.8,387.95,380.0,2571,123414,47437279.0,
35,500086,EXIDE IND.  ,A ,Q,324.85,328.75,317.9,326.15,326.15,321.85,3040,141664,45706795.0,
36,500087,CIPLA LTD.  ,A ,Q,1285.25,1306.0,1274.35,1299.75,1299.75,1281.55,5619,106636,137722864.0,
37,500089,DIC INDIA   ,B ,Q,509.0,516.05,502.95,503.85,503.85,504.0,24,138,70049.0,
38,500092,CRISIL LTD  ,A ,Q,4200.05,4229.0,4140.0,4148.9,4148.9,4221.35,868,2647,11051570.0,
39,500093,CGPOWER     ,A ,Q,453.0,458.0,448.9,451.35,451.35,452.2,4064,129076,58637587.0,
40,500096,DABUR (I)   ,A ,Q,555.1,562.4,546.85,551.05,550.4,556.65,3453,50712,28147705.0,
41,500097,DALMIASUG   ,B ,Q,414.85,414.85,405.1,407.8,407.1,406.75,353,8399,3427192.0,
42,500101,ARVIND Ltd  ,A ,Q,250.0,259.75,248.8,257.9,257.9,250.25,2248,50916,12903536.0,
43,500103,BHEL        ,A ,Q,202.1,202.1,193.5,194.5,194.5,202.05,40986,4170190,816764334.0,
44,500104,HIND.PETRO  ,A ,Q,409.0,423.55,405.55,421.85,421.85,408.6,6489,442374,184663906.0,
45,500106,IFCI LTD    ,A ,Q,28.77,29.96,28.61,29.02,29.02,28.77,7590,6020123,176485095.0,
46,500108,MAHA.TELE   ,A ,Q,33.47,33.68,32.76,32.94,32.94,33.2,2319,835028,27695820.0,
47,500109,MRPL        ,A ,Q,129.85,133.4,129.3,132.65,132.65,129.45,2051,142928,18873397.0,
48,500110,CHENNAI PET.,A ,Q,713.95,732.65,712.1,723.8,722.25,708.55,4235,121995,88256377.0,
49,500111,REL.CAP.    ,T ,Q,13.11,13.11,13.11,13.11,13.11,12.49,237,70545,924844.0,
50,500112,STATE BANK  ,A ,Q,639.7,648.0,636.0,643.4,643.4,639.05,6927,342400,220209797.0,
51,500113,STEEL AUTH. ,A ,Q,122.5,122.6,118.7,119.1,119.1,123.1,25856,3920736,469326045.0,
52,500114,TITAN       ,A ,Q,3700.15,3710.0,3665.1,3692.6,3693.55,3696.8,1131,7614,28096813.0,
53,500116,IDBI BANK L ,A ,Q,67.3,68.54,67.05,67.91,67.91,67.36,3647,1149897,78103929.0,
54,500117,DCW LTD.    ,A ,Q,57.56,58.4,57.19,57.57,57.57,57.72,1845,213315,12304459.0,
55,500119,DHAMPUR SUGA,A ,Q,268.3,271.35,266.5,269.2,270.0,265.6,1352,52474,14107781.0,
56,500120,DIAMINES&CHM,B ,Q,541.15,553.75,535.0,536.9,535.55,537.7,144,1486,805020.0,
57,500123,ELANTAS     ,B ,Q,8301.0,8487.4,8300.0,8330.8,8341.5,8405.2,120,469,3912972.0,
58,500124,DR.REDDY'S  ,A ,Q,5927.7,5965.0,5890.0,5931.05,5929.0,5924.85,1233,8785,52149546.0,
59,500125,E.I.D.PAR   ,A ,Q,560.25,572.0,557.95,569.9,570.2,559.5,515,13492,7630852.0,
60,500126,PGHL        ,A ,Q,5021.85,5021.85,4949.0,4989.65,4995.0,4953.7,149,693,3450691.0,
61,500128,ELEC.CASTING,A ,Q,109.95,113.45,109.8,112.4,112.75,110.35,1790,154167,17274043.0,
62,500133,ESAB INDIA  ,A ,Q,5838.15,5893.85,5800.0,5817.55,5800.0,5842.15,90,237,1385666.0,
63,500135,EPL         ,A ,Q,197.25,202.15,197.25,198.05,198.3,198.0,440,17117,3417096.0,
64,500136,ESTER INDUS.,B ,Q,96.0,99.5,95.77,98.31,97.51,95.79,881,49418,4829131.0,
65,500142,FGP LTD.    ,X ,Q,8.09,8.1,7.53,7.81,7.81,7.86,58,20773,159061.0,
66,500143,P.H.CAPITAL ,X ,Q,109.35,113.05,103.9,108.0,108.0,109.35,18,735,80334.0,
