,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
0,500002,ABB LTD.    ,A ,Q,4766.0,4836.5,4684.9,4745.45,4727.8,4742.0,1172,5884,28100618.0,
1,500003,AEGIS LOGIS ,A ,Q,378.05,379.5,373.15,377.85,377.85,375.65,1703,51875,19522528.0,
2,500008,ARE&M       ,A ,Q,770.8,771.15,749.45,752.0,752.0,763.45,2091,29561,22358767.0,
3,500009,A.SARABHAI  ,XT,Q,40.77,40.82,40.77,40.81,40.81,41.6,128,113646,4637121.0,
4,500012,ANDHRA PETRO,X ,Q,82.6,83.5,81.0,81.45,81.45,82.15,728,173430,14269516.0,
5,500013,ANSAL INFRAS,Z ,Q,12.29,12.29,12.29,12.29,12.29,11.71,5,4912,60368.0,
6,500014,UTIQUE      ,X ,Q,6.55,6.76,6.32,6.5,6.55,6.4,165,55436,360811.0,
7,500016,ARUNAHTEL   ,X ,Q,17.0,17.0,16.3,16.34,16.35,16.98,79,22387,371970.0,
8,500020,BOM DYEING  ,A ,Q,156.65,161.5,154.55,156.35,156.35,156.2,3577,248189,39086610.0,
9,500023,ASIANHOTNR  ,T ,Q,225.2,225.2,220.0,223.4,220.0,227.2,6,223,49858.0,
10,500027,ATUL LTD.   ,A ,Q,6910.0,6920.0,6705.7,6751.3,6855.0,6871.75,481,1731,11752848.0,
11,500028,ATV PROJECTS,XT,Q,15.09,15.09,14.8,14.8,14.8,14.8,44,17226,258427.0,
12,500031,BAJAJ ELECT.,A ,Q,1027.95,1034.15,1012.5,1016.4,1015.95,1020.15,329,2091,2140045.0,
13,500032,BAJAJHIND   ,A ,Q,26.71,28.37,26.55,26.92,26.92,29.15,20727,10785297,295594696.0,
14,500033,FORCE MOTR  ,B ,Q,3965.0,3965.0,3765.0,3808.25,3808.25,3881.0,2741,22904,88423695.0,
15,500034,BAJFINANCE  ,A ,Q,7395.0,7397.95,7275.0,7306.85,7306.85,7394.3,10115,54962,401918137.0,
16,500038,BALRAM.CHINI,A ,Q,399.05,410.15,384.1,392.65,392.65,408.4,9395,431133,172192551.0,
17,500039,BANCO PROD. ,B ,Q,564.95,564.95,548.25,550.65,550.65,561.15,1479,42459,23671184.0,
18,500040,CENTURY TEXT,A ,Q,1339.9,1363.05,1291.25,1304.75,1302.35,1331.25,1068,11233,14911294.0,
19,500041,BANNARI AMAN,B ,Q,2482.0,2517.95,2482.0,2498.15,2500.0,2502.3,96,516,1289945.0,
20,500042,BASF INDIA  ,A ,Q,3014.95,3041.25,2991.4,3004.65,2991.4,3007.35,480,1368,4117601.0,
21,500043,BATA INDIA  ,A ,Q,1644.05,1671.05,1630.0,1664.95,1647.05,1658.75,720,4307,7109702.0,
22,500048,BEML LTD    ,A ,Q,2471.4,2488.85,2424.8,2455.9,2454.0,2470.95,506,3254,7989674.0,
23,500049,BHARAT ELECT,A ,Q,161.85,162.3,157.35,158.7,158.7,160.3,9137,1017906,162315405.0,
24,500052,BHANSALI ENG,B ,Q,96.62,98.4,93.5,94.54,94.54,95.97,2344,125211,12062538.0,
25,500058,BIHAR SPONGE,XT,Q,10.35,10.55,10.01,10.15,10.15,10.29,145,42553,435126.0,
26,500059,BINANI IND. ,T ,Q,15.85,16.2,15.8,15.8,15.8,16.06,9,1860,29990.0,
27,500060,BIRLACABLE  ,B ,Q,264.7,268.0,263.0,267.05,267.05,262.5,984,27002,7193104.0,
28,500067,BLUE STAR   ,A ,Q,1012.0,1012.75,997.35,1004.75,1000.55,1011.55,453,4164,4180222.0,
29,500068,DISA INDIA  ,B ,Q,14399.0,14599.0,14399.0,14414.0,14425.0,14399.6,27,65,942023.0,
30,500069,QUESTCAP    ,X ,Q,281.05,291.9,280.0,287.8,289.95,285.0,20,594,170590.0,
31,500074,BPL LTD.    ,T ,Q,81.1,81.5,81.1,81.25,81.25,81.9,79,15588,1266381.0,
32,500078,OAL         ,B ,Q,345.05,355.4,345.05,347.75,346.0,348.0,60,413,144712.0,
33,500083,CENTURY EXT ,T ,Q,17.7,18.3,17.5,18.0,18.0,17.7,363,89651,1609043.0,
34,500084,CESC LTD.   ,A ,Q,122.99,122.99,118.25,119.99,119.99,122.01,5659,804741,96840493.0,
35,500085,CHAMBAL FERT,A ,Q,349.2,351.2,338.45,341.75,341.75,349.15,1864,94153,32440039.0,
36,500086,EXIDE IND.  ,A ,Q,297.95,298.25,287.45,289.85,289.85,294.8,3006,159019,46359962.0,
